<<<<<<< HEAD
HIST,99,999,Get Lucky,Cancion,Daft Punk,2026-06-15 01:42:03
HIST,99,999,Starboy,Cancion,The Weeknd,2026-06-15 01:42:19
HIST,99,999,Blinding Lights,Cancion,The Weeknd,2026-06-15 01:43:08
HIST,1,999,Smells Like Teen Spirit,Cancion,Nirvana,2026-06-15 02:29:13
HIST,1,999,Paranoid Android,Cancion,Radiohead,2026-06-15 02:29:16
HIST,1,999,Creep,Cancion,Radiohead,2026-06-15 02:29:17
HIST,1,999,Reptilia,Cancion,The Strokes,2026-06-15 02:29:19
HIST,99,999,Master of Puppets,Cancion,Metallica,2026-06-15 02:49:55
HIST,99,999,Enter Sandman,Cancion,Metallica,2026-06-15 02:49:57
HIST,99,999,Creeping Death,Cancion,Metallica,2026-06-15 02:49:58
HIST,99,999,Symphony of Destruction,Cancion,Megadeth,2026-06-15 02:50:00
HIST,99,999,Holy Wars,Cancion,Megadeth,2026-06-15 02:50:01
HIST,99,999,Peace Sells,Cancion,Megadeth,2026-06-15 02:50:03
HIST,99,999,Run to the Hills,Cancion,Iron Maiden,2026-06-15 02:50:04
HIST,99,999,Creep,Cancion,Radiohead,2026-06-15 03:08:05
HIST,99,999,Fake Plastic Trees,Cancion,Radiohead,2026-06-15 03:08:07
HIST,99,999,Reptilia,Cancion,The Strokes,2026-06-15 03:08:09
HIST,99,999,505,Cancion,Arctic Monkeys,2026-06-15 03:08:14
HIST,99,999,Hey Jude,Cancion,The Beatles,2026-06-15 03:08:16
HIST,99,999,Come Together,Cancion,The Beatles,2026-06-15 03:08:17
HIST,99,999,Fortnight,Cancion,Taylor Swift,2026-06-15 03:08:19
HIST,99,999,En La Ciudad De La Furia,Cancion,Soda Stereo,2026-06-15 03:08:20
HIST,99,999,You Only Live Once,Cancion,The Strokes,2026-06-15 03:08:21
HIST,99,999,Last Nite,Cancion,The Strokes,2026-06-15 03:08:22
HIST,99,999,Let It Be,Cancion,The Beatles,2026-06-15 03:08:24
=======
HIST,99,999,Clocks,Cancion,Coldplay,2026-07-04 18:10:14
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-04 18:10:15
HIST,99,999,Smooth Criminal,Cancion,Michael Jackson,2026-07-04 18:10:16
HIST,99,999,Let It Be,Cancion,The Beatles,2026-07-04 18:14:03
HIST,99,999,Smooth Criminal,Cancion,Michael Jackson,2026-07-04 18:14:06
HIST,99,999,Eyes Closed,Cancion,Ed Sheeran,2026-07-04 18:14:10
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-04 18:14:10
HIST,99,999,Eyes Closed,Cancion,Ed Sheeran,2026-07-04 18:14:12
HIST,99,999,Breaking the Law,Cancion,Judas Priest,2026-07-04 18:14:13
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-04 18:14:14
HIST,99,999,Master of Puppets,Cancion,Metallica,2026-07-04 18:14:15
HIST,99,999,El Ritmo de mi Corazon,Cancion,Grupo 5,2026-07-04 19:57:28
HIST,99,999,Master of Puppets,Cancion,Metallica,2026-07-04 19:57:29
HIST,99,999,Enter Sandman,Cancion,Metallica,2026-07-04 19:57:30
HIST,99,999,Creeping Death,Cancion,Metallica,2026-07-04 19:57:31
HIST,99,999,You Only Live Once,Cancion,The Strokes,2026-07-04 19:57:33
HIST,99,999,Painkiller,Cancion,Judas Priest,2026-07-04 19:57:34
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-04 19:57:35
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-04 21:04:50
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-04 21:04:52
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-04 21:57:36
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-04 21:57:41
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:14:52
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:14:53
HIST,99,999,Clocks,Cancion,Coldplay,2026-07-05 17:16:41
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:16:42
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:16:44
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:17:42
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:17:43
HIST,99,999,Cruel Summer,Cancion,Taylor Swift,2026-07-05 17:17:44
HIST,99,999,Thinking Out Loud,Cancion,Ed Sheeran,2026-07-05 17:17:44
HIST,99,999,Master of Puppets,Cancion,Metallica,2026-07-05 17:17:45
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:21:29
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:22:05
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:22:06
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:22:55
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:22:57
HIST,99,999,Clocks,Cancion,Coldplay,2026-07-05 17:23:44
